county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_highschool,prop_GED,prop_some_college,prop_college_no_degree,prop_associates,prop_bachelors,prop_masters,prop_professional,prop_doctoral,prop_poverty,perc_poverty,median_income_thousand
Michigan,2021,10050811,63498,969,958,0.5048291127949774,0.49517088720502256,0.7400410772822213,0.1338250216823299,0.00509292235223605,0.03206258679026001,2.4993008026914445e-4,0.01913268491468002,0.06959577689800356,0.2469573910679951,0.04037697068013789,0.07607099647943637,0.14192411102003114,0.09758078685923983,0.19193662555158963,0.09319819073580424,0.01875645000390855,0.01283323974328357,0.13062621688175044,13.062621688175044,63.498
Minnesota,2021,5707390,77720,1113,1246,0.4987782506539767,0.5012217493460233,0.7773880880752848,0.06808278389947069,0.00846428928108995,0.05077329567455527,3.3360257490726937e-4,0.02637615442435158,0.06858178607034038,0.2021359710388633,0.03114902191527421,0.06756692286896646,0.13357718977044392,0.11792060105541737,0.2549240242108865,0.0943809567291193,0.02387718910356212,0.01577047160340438,0.09302191137618578,9.302191137618578,77.72
Mississippi,2021,2949965,48716,831,672,0.5134101591035826,0.48658984089641744,0.5606883471498815,0.36100428310166394,0.00530446971404745,0.00844382899458129,1.9559554096404533e-4,0.01369643368650136,0.05066704181236049,0.23807685018598523,0.05975712426841828,0.06349410390480076,0.1542135398063274,0.10153762358580344,0.15428365580766265,0.06696332170999716,0.01483410706510169,0.01169412961400125,0.1936492771419895,19.364927714198952,48.716
Missouri,2021,6168187,61847,882,946,0.5063085798144576,0.4936914201855423,0.774289106345187,0.10810550977134772,0.00357414585517592,0.0201297399057454,0.00116030853150204,0.01675435585853671,0.07598683373250519,0.2628789244585644,0.04561573109949903,0.07152925945326707,0.1356982885198955,0.0830062408999691,0.19476846114425805,0.09059360237957675,0.0189264081063087,0.01290080948575154,0.1268888887407364,12.688888874073639,61.847
Montana,2021,1104271,63249,883,959,0.4920531282628992,0.5079468717371007,0.8505058993670938,0.00516449313619573,0.05786260800111566,0.0093355707068283,3.595131992056298e-4,0.01334183366220791,0.06343008192735297,0.22333774150383823,0.04470902162090255,0.077004739435389,0.15992920843343011,0.0905526906794582,0.22350859071571472,0.0845990521129222,0.02274250806643034,0.01713448050101857,0.1186473481845862,11.864734818458619,63.249
Nebraska,2021,1963692,66817,912,1076,0.49787492132167366,0.5021250786783263,0.7845018465217559,0.04666465005713727,0.01199118802745033,0.02306115215624446,3.0249142940950004e-4,0.04634891826213072,0.08712975354587175,0.21625780635897185,0.03534060173178929,0.07757153379093502,0.13984446081192323,0.10811459023191618,0.22166500584896667,0.08573378226989423,0.02101991743363434,0.01606763757450469,0.10753876791076432,10.753876791076431,66.817
Nevada,2021,3143991,66274,1311,1281,0.4957978569277075,0.5042021430722925,0.496187807153392,0.09164052950533257,0.0142051933354771,0.08583071643652924,0.00732349424664383,0.12936232959954402,0.1754499297230813,0.23191945006124515,0.04050754597035971,0.07744253306007864,0.15628599806824617,0.08967241358867507,0.1793156410950983,0.06899042605295633,0.01695802585339648,0.01046503461742974,0.1409475324635148,14.09475324635148,66.274
New Hampshire,2021,1388992,88465,1263,1535,0.500908572547574,0.4990914274524259,0.8793650359397318,0.01460843546975072,0.00111591715431046,0.0262218932866424,2.807791549555361e-5,0.01438669193199096,0.06427394830207805,0.2252255736781452,0.04046838398203741,0.06425948956579175,0.11351875102894128,0.09844314987930396,0.245315465954193,0.12089836738013206,0.01989650090546831,0.01635694294855393,0.0722096357603129,7.2209635760312905,88.465
New Jersey,2021,9267130,89296,1457,1899,0.5075541186969429,0.4924458813030571,0.5463275037686964,0.1288516509426327,0.00385523889273162,0.09982108808228651,3.953759146575045e-4,0.09986684119031458,0.12088230120868056,0.22850346447647027,0.02625606868376151,0.05356304117723468,0.1003381457540567,0.0701226533251514,0.25706568318709905,0.12818400763496138,0.02811461153241823,0.01766164017294503,0.10234116176654148,10.234116176654148,89.296
New Mexico,2021,2115877,53992,906,830,0.5026388584969731,0.4973611415030269,0.4513608305208668,0.02023936173983648,0.09312025226419116,0.01641825115543106,6.380333072291064e-4,0.142911898943086,0.2753113720693594,0.21225136138110468,0.04454589262410301,0.06729452090208604,0.15937276162335778,0.09081802820862996,0.15976364810840585,0.09725903778500417,0.02104996108370003,0.02245494636858182,0.1843455698080061,18.434556980800608,53.992
New York,2021,19835913,74314,1409,1454,0.511160741630597,0.488839258369403,0.5557009652139531,0.14178142442951833,0.00603410591687914,0.0871059476818637,4.948095910684827e-4,0.10199555725012506,0.1068871899165922,0.20460061253609935,0.03915452344854478,0.04962217312616902,0.09920352290475776,0.08856464394962957,0.22205034155057513,0.12761328407459047,0.03213412307088234,0.01740504496502275,0.13909358923725168,13.909358923725168,74.314
North Carolina,2021,10551162,61972,1026,978,0.5119662649478797,0.48803373505212033,0.624334362414301,0.20076774482279772,0.01106437376281399,0.03080333711111629,5.606017612088602e-4,0.04857711406573039,0.08389246606203184,0.20760963294851295,0.04117391001916741,0.06155405077155451,0.13676446719899657,0.10074359282944538,0.21719030168796868,0.09678368981477392,0.01983401861976981,0.01532054070645597,0.13404121495533372,13.404121495533373,61.972
North Dakota,2021,774948,66519,839,874,0.4844247614033458,0.5155752385966542,0.8313654593598538,0.02911292112503032,0.04639666145341364,0.01452355512886026,0.00231241321998379,0.01546426340864161,0.06082472630421654,0.22334377263245972,0.03974235257203412,0.06833103431944255,0.14242440388444544,0.1449878537077273,0.22361412877240552,0.06616423839491335,0.01408220010695841,0.01355530164443628,0.11083290227955422,11.083290227955423,66.519
Ohio,2021,11780017,62262,870,953,0.5069128508048842,0.49308714919511576,0.7733864051299756,0.11938675470502293,0.00174821479459664,0.02407084811507487,5.585730478996762e-4,0.01638045174298135,0.0644687524644489,0.2886358454259456,0.03961838749648465,0.06881717886965133,0.12353958309543528,0.08960894548429763,0.18928666059864943,0.08816166301612484,0.01744093014352228,0.01231920825555837,0.1339542062489424,13.39542062489424,62.262
Oklahoma,2021,3986639,55826,855,817,0.5021603410792901,0.4978396589207099,0.6564572312667387,0.06888810348767471,0.07473387984214272,0.02262356837426213,0.00131614625753673,0.03586128565942389,0.1401197851122211,0.2567384461998213,0.05072182959207754,0.07606759223588568,0.14322761297918207,0.08110795567540909,0.1830258772243833,0.06831991799655213,0.01526086892289789,0.01264106180221971,0.15647680526157262,15.647680526157263,55.826
Oregon,2021,4246155,71562,1282,1385,0.5003639763503688,0.4996360236496313,0.7464275326736777,0.01901367236947308,0.01325457973154536,0.04480147333293297,0.00393932863967518,0.05487246697306151,0.11769094627963415,0.17558861426730701,0.04370239240291226,0.08192144550564485,0.16454340427006223,0.08967625596615891,0.2244763886116276,0.0963273373401944,0.02362904143851041,0.01887756196308694,0.1218878724412329,12.18878724412329,71.562
Pennsylvania,2021,12964056,68957,1036,1038,0.5063557269422471,0.49364427305775294,0.7485845479223477,0.10427693308328811,0.00175600907617184,0.03626827900157173,3.4827063382015627e-4,0.03912996056172543,0.06963599972107495,0.2926342605200097,0.04004389897559961,0.05377722743369448,0.09840345035906677,0.08856481893309773,0.2060394381324053,0.0998044629169898,0.02240659597934718,0.01719853153451587,0.12083270193809505,12.083270193809504,68.957
Rhode Island,2021,1095610,74008,1142,1602,0.5102372194485264,0.4897627805514736,0.7080028477286626,0.04966000675422823,0.00300928250015972,0.03116437418424439,0.00136179845017843,0.08808152536030157,0.11872016502222506,0.2260312050722464,0.05120341735361956,0.0581668959382725,0.1105494244076001,0.08041098228230402,0.20892245792952224,0.11130059058986586,0.02422607904181707,0.02056592162014004,0.11411085162785348,11.411085162785348,74.008
South Carolina,2021,5190705,59318,976,855,0.5141914248642525,0.48580857513574743,0.6359550388627364,0.25039161347061717,0.0038430232502136,0.01655902232933676,4.090003188391558e-4,0.02723791854863645,0.06560438321962046,0.24025441321388016,0.04514203264897323,0.06136036091616324,0.13138957947397703,0.10260232470115868,0.19584826358840796,0.08925833106843657,0.01821366063453792,0.01199672743259639,0.146480411001219,14.648041100121901,59.318
South Dakota,2021,895376,66143,830,949,0.49523998856346385,0.5047600114365361,0.8071726291524455,0.01989108486267221,0.08165843176497918,0.01602678651203517,7.594574793159522e-4,0.01447213237790604,0.06001947785064598,0.24477410197212968,0.04820987267457912,0.06011582429532316,0.1406084586628544,0.1201672829395454,0.21555379020524176,0.06900844714479053,0.02021420211153212,0.0118788502939647,0.1228872057658306,12.28872057658306,66.143
Tennessee,2021,6975218,59695,981,891,0.5106703475074184,0.4893296524925816,0.7307814608805058,0.15478039539409377,0.00259060003572648,0.01704892951016011,8.973196249923658e-4,0.02576363921529047,0.06813765533923097,0.2554114801996372,0.05665097736374431,0.06656138819694454,0.13641551527427478,0.07754230784169514,0.19200283807380697,0.07900330104705898,0.01890775283916425,0.01488846374092772,0.13617729016607374,13.617729016607374,59.695
Texas,2021,29527941,66963,1167,1192,0.5008452841327473,0.49915471586725263,0.4785213435640501,0.11939251030066744,0.00771523486856059,0.05252205021677603,7.804811043208194e-4,0.10197344948636954,0.23909493045925553,0.2025027402265254,0.04319570751941462,0.06544314269235475,0.13619227526605374,0.07539747849223873,0.21211376746400257,0.08655776364225001,0.01867827451868139,0.01380963893926393,0.14248253192356938,14.248253192356938,66.963
Utah,2021,3337975,79449,1208,1350,0.4922760056621155,0.5077239943378845,0.7932177442910747,0.01077958942173024,0.00977299110987949,0.02518173443479954,0.0086444625858492,0.05747256944704499,0.09493090870962186,0.1905375518407024,0.03078040927485431,0.08150683807399016,0.16575497320123517,0.09508799553594297,0.24114760482153969,0.09312552126668612,0.01939298572108496,0.01440822150396349,0.08560334106886487,8.560334106886486,79.449
Vermont,2021,645570,72431,1115,1264,0.5038601545920659,0.4961398454079341,0.9110429542884584,0.01102901312018836,0.00191148907167309,0.01757361711355856,1.5645088836222252e-4,0.00695199591059064,0.05133447960716886,0.23727861164240716,0.024570730811208,0.05161387925352006,0.10595519823645735,0.08167190758690743,0.2601506359343426,0.1317253973914265,0.02982029586885812,0.02269264434142704,0.1025528778217331,10.25528778217331,72.431
Virginia,2021,8642274,80963,1331,1361,0.5054622197815066,0.49453778021849343,0.6076076736284918,0.183728611242828,0.00428336338329472,0.06783295692777155,9.638666860134266e-4,0.04032121638355831,0.09526231174804224,0.20079486130144825,0.03825568700409513,0.0599938882711346,0.11993207769165116,0.07680046955308992,0.234721855757814,0.135217121187237,0.0284035531491558,0.01972866750848776,0.10166907762401849,10.166907762401848,80.963
Washington,2021,7738692,84247,1484,1613,0.49638517723667003,0.50361482276333,0.6641236012494101,0.03990144587741701,0.01300271415376138,0.09468021210819606,0.0070497701678785,0.05762097780865293,0.123621278634684,0.17695568109674442,0.03941976049910861,0.07260825428070954,0.14397066253865612,0.10085465148249012,0.2383687248768734,0.11104137286344072,0.02235857592523368,0.01790063558698343,0.09925249606576876,9.925249606576877,84.247
West Virginia,2021,1782959,51248,767,576,0.5023104849859139,0.49768951501408615,0.907135834306902,0.02847513599583613,0.00127709049955719,0.00791156723177594,2.753849078974895e-4,0.00499506718886973,0.04992991986916132,0.3303043449743528,0.06111001794634115,0.06009693078844574,0.115929728734455,0.07959372202057942,0.14175001718771113,0.07156330727913396,0.01725093030956055,0.01060738605337752,0.1682713923070006,16.827139230700062,51.248
Wisconsin,2021,5895908,67125,921,1076,0.49876270118190447,0.5012372988180955,0.8025908816759013,0.06176114009920101,0.00714173287642887,0.02980762250699977,1.2754608789689392e-4,0.02439166282784602,0.07417941392572612,0.26426212343968447,0.0356040064381299,0.06710065085362135,0.12775949203439654,0.11311988526960098,0.21501327539245388,0.07912590194289533,0.01759127491604599,0.01367869551575568,0.10793186473593816,10.793186473593815,67.125
Wyoming,2021,578803,65204,889,1043,0.48858765417594585,0.5114123458240541,0.8456711523609933,0.01155315366368177,0.01789209800225638,0.00867307183964146,1.658595411564902e-4,0.03464045625195446,0.08140420834031614,0.2199075245100519,0.05279905298622985,0.08854224632475692,0.15836680595323613,0.12380232099315032,0.18529245120754373,0.0780856359460526,0.01713174216133634,0.01193631939455871,0.11351809954751133,11.351809954751133,65.204
Puerto Rico,2021,3263584,22237,504,259,0.5269032450214243,0.4730967549785757,0.28031758949670055,0.0614021272319021,0.00194264955337444,0.00202691274378107,2.5738574524204063e-5,0.29665055350191694,0.3576344288978007,0.258133454151292,0.02167727363393741,0.01301569203746633,0.10209964233497916,0.11674646009905018,0.20544438702445103,0.05307675618772146,0.01232318193194079,0.01394431352593415,0.4050513970407099,40.50513970407099,22.237
